Дата;Цена
12.10.2020;169.05
09.10.2020;166.97
08.10.2020;167.43
07.10.2020;168.23
06.10.2020;171.35
05.10.2020;170.64
02.10.2020;169.47
01.10.2020;168.40
30.09.2020;169.97
29.09.2020;171.44
28.09.2020;172.74
25.09.2020;173.77
24.09.2020;174.23
23.09.2020;177.00
22.09.2020;179.00
21.09.2020;177.17
18.09.2020;181.52
17.09.2020;183.90
16.09.2020;183.26
15.09.2020;182.22
14.09.2020;178.19
11.09.2020;178.05
10.09.2020;173.80
09.09.2020;173.69
08.09.2020;172.95
07.09.2020;177.04
04.09.2020;179.55
03.09.2020;179.13
02.09.2020;181.95
01.09.2020;184.22
31.08.2020;181.01
28.08.2020;182.90
27.08.2020;184.58
26.08.2020;187.48
25.08.2020;186.25
24.08.2020;187.10
21.08.2020;184.51
20.08.2020;186.95
19.08.2020;189.26
18.08.2020;190.30
17.08.2020;190.47
14.08.2020;192.83
13.08.2020;193.76
12.08.2020;192.80
11.08.2020;189.70
10.08.2020;187.70
07.08.2020;187.23
06.08.2020;189.07
05.08.2020;189.15
04.08.2020;183.31
03.08.2020;183.60
31.07.2020;182.59
30.07.2020;182.52
29.07.2020;184.69
28.07.2020;184.30
27.07.2020;185.03
24.07.2020;185.45
23.07.2020;184.69
22.07.2020;187.15
21.07.2020;186.78
20.07.2020;188.36
17.07.2020;184.65
16.07.2020;183.32
15.07.2020;182.26
14.07.2020;193.60
13.07.2020;195.70
10.07.2020;200.94
09.07.2020;199.44
08.07.2020;201.17
07.07.2020;197.96
06.07.2020;199.99
03.07.2020;197.20
02.07.2020;195.28
30.06.2020;194.31
29.06.2020;197.94
26.06.2020;193.00
25.06.2020;192.25
23.06.2020;194.83
22.06.2020;194.30
19.06.2020;195.81
18.06.2020;193.00
17.06.2020;195.86
16.06.2020;196.59
15.06.2020;194.20
11.06.2020;196.74
10.06.2020;201.75
09.06.2020;204.84
08.06.2020;204.91
05.06.2020;203.05
04.06.2020;201.46
03.06.2020;208.00
02.06.2020;201.97
01.06.2020;198.72
29.05.2020;199.95
28.05.2020;196.86
27.05.2020;194.73
26.05.2020;196.86
25.05.2020;197.55
22.05.2020;194.35
21.05.2020;194.74
20.05.2020;196.74
19.05.2020;194.20
18.05.2020;192.50
15.05.2020;183.85
14.05.2020;183.91
13.05.2020;184.20
12.05.2020;186.17
08.05.2020;185.34
07.05.2020;185.85
06.05.2020;187.05
05.05.2020;190.00
04.05.2020;185.70
30.04.2020;190.00
29.04.2020;193.87
28.04.2020;188.50
27.04.2020;186.29
24.04.2020;185.71
23.04.2020;188.73
22.04.2020;188.36
21.04.2020;181.92
20.04.2020;185.51
17.04.2020;184.68
16.04.2020;184.30
15.04.2020;184.25
14.04.2020;190.11
13.04.2020;188.07
10.04.2020;192.00
09.04.2020;193.86
08.04.2020;194.11
07.04.2020;191.22
06.04.2020;191.10
03.04.2020;189.77
02.04.2020;187.04
01.04.2020;180.06
31.03.2020;181.41
30.03.2020;176.44
27.03.2020;174.50
26.03.2020;181.50
25.03.2020;180.20
24.03.2020;177.95
23.03.2020;168.35
20.03.2020;176.26
19.03.2020;174.56
18.03.2020;166.34
17.03.2020;167.00
16.03.2020;168.07
13.03.2020;166.10
12.03.2020;163.73
11.03.2020;172.03
10.03.2020;171.00
06.03.2020;188.27
05.03.2020;198.00
04.03.2020;200.00
03.03.2020;201.48
02.03.2020;198.78
28.02.2020;202.65
27.02.2020;217.50
26.02.2020;224.76
25.02.2020;224.68
21.02.2020;232.00
20.02.2020;234.60
19.02.2020;231.90
18.02.2020;230.50
17.02.2020;233.75
14.02.2020;232.50
13.02.2020;233.55
12.02.2020;238.03
11.02.2020;233.90
10.02.2020;225.20
07.02.2020;229.11
06.02.2020;231.38
05.02.2020;232.56
04.02.2020;230.50
03.02.2020;227.64
31.01.2020;226.70
30.01.2020;231.53
29.01.2020;232.00
28.01.2020;235.00
27.01.2020;230.96
24.01.2020;237.95
23.01.2020;239.30
22.01.2020;248.10
21.01.2020;252.99
20.01.2020;253.50
17.01.2020;255.39
16.01.2020;254.26
15.01.2020;251.30
14.01.2020;250.00
13.01.2020;251.50
10.01.2020;251.90
09.01.2020;254.07
08.01.2020;255.79
06.01.2020;256.55
03.01.2020;259.00
30.12.2019;256.40
27.12.2019;257.11
26.12.2019;254.10
25.12.2019;253.25
24.12.2019;254.87
23.12.2019;255.00
20.12.2019;255.50
19.12.2019;251.40
18.12.2019;251.29
17.12.2019;252.05
16.12.2019;250.78
13.12.2019;249.50
12.12.2019;250.48
11.12.2019;247.34
10.12.2019;246.90
09.12.2019;248.70
06.12.2019;247.83
05.12.2019;246.36
04.12.2019;248.93
03.12.2019;247.93
02.12.2019;254.05
29.11.2019;257.54
28.11.2019;254.00
27.11.2019;253.89
26.11.2019;254.00
25.11.2019;255.20
22.11.2019;251.99
21.11.2019;254.35
20.11.2019;248.00
19.11.2019;248.01
18.11.2019;246.15
15.11.2019;248.01
14.11.2019;248.34
13.11.2019;251.80
12.11.2019;257.25
11.11.2019;260.40
08.11.2019;266.00
07.11.2019;270.74
06.11.2019;266.98
05.11.2019;263.00
01.11.2019;263.79
31.10.2019;260.00
30.10.2019;261.60
29.10.2019;253.10
28.10.2019;244.40
25.10.2019;246.71
24.10.2019;243.94
23.10.2019;236.20
22.10.2019;235.36
21.10.2019;228.54
18.10.2019;228.00
17.10.2019;228.00
16.10.2019;227.70
15.10.2019;226.00
14.10.2019;226.00
11.10.2019;227.37
10.10.2019;224.50
09.10.2019;223.18
08.10.2019;223.20
07.10.2019;226.36
04.10.2019;221.66
03.10.2019;223.10
02.10.2019;223.60
01.10.2019;226.49
30.09.2019;225.90
27.09.2019;229.01
26.09.2019;231.97
25.09.2019;228.43
24.09.2019;227.70
23.09.2019;230.36
20.09.2019;230.41
19.09.2019;230.52
18.09.2019;233.46
17.09.2019;233.58
16.09.2019;234.88
13.09.2019;232.50
12.09.2019;232.88
11.09.2019;235.07
10.09.2019;233.00
09.09.2019;234.85
06.09.2019;234.49
05.09.2019;236.18
04.09.2019;233.71
03.09.2019;231.02
02.09.2019;233.67
30.08.2019;232.15
29.08.2019;233.20
28.08.2019;228.48
27.08.2019;227.00
26.08.2019;228.90
23.08.2019;229.35
22.08.2019;232.06
21.08.2019;231.22
